track_name,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,liveness,speechiness
Prodigal,0.562,0.868,0.476,122.023,-4.189,0.000831,0.0,0.106,0.0473
"String Quartet No. 62 in C Major, Op. 76, No. 3, Hob.III:77, ""Emperor"": I. Allegro",0.431,0.102,0.338,98.924,-19.814,0.968,0.736,0.247,0.0378
somethingfartoogoodtofeel,0.211,0.407,0.254,179.915,-11.223,0.617,0.00284,0.0937,0.0446
"Bouge (B.O. ""Bouge"")",0.723,0.917,0.855,105.058,-3.07,0.188,0.0,0.349,0.0336
Los Hombres Tienen La Culpa,0.801,0.947,0.965,93.504,-3.356,0.5,0.00031,0.182,0.0469
GRRRLS,0.549,0.656,0.594,180.043,-6.515,0.0351,1.19e-06,0.129,0.0438
Free Bread At The Outback,0.603,0.635,0.296,89.673,-9.979,0.00616,1.89e-05,0.0651,0.243
Wicked,0.718,0.679,0.205,157.97,-5.899,0.00191,0.0104,0.385,0.0706
"Nachtstück, D. 672",0.273,0.0413,0.0377,84.532,-23.291,0.985,5.89e-05,0.0865,0.0587
Sleigh Ride/Marshmallow World (with John Pizzarelli),0.689,0.445,0.583,132.024,-9.819,0.568,0.0,0.052,0.0502
Track A- Solo Dancer,0.256,0.642,0.442,102.074,-8.438,0.0254,2.9e-05,0.0445,0.0582
Avec La Bouche 'Bye Bye Blues' - Remastered,0.508,0.587,0.675,80.459,-8.576,0.0782,0.0664,0.288,0.208
As the Footsteps Die Out Forever,0.404,0.818,0.802,169.446,-6.77,0.00495,0.000609,0.103,0.217
Thank You Jesus - Alternate Version/Live,0.424,0.456,0.134,157.932,-6.356,0.0158,0.0,0.0872,0.0271
Put My Money on That,0.66,0.828,0.553,102.044,-4.531,0.211,1.57e-06,0.11,0.0331
The Distance (feat. Ty Dolla $ign),0.701,0.691,0.587,131.843,-5.937,0.07,0.0,0.844,0.0808
Blue Bayou,0.732,0.161,0.5,95.21,-12.817,0.739,0.000379,0.105,0.0306
Forever On Your Side (with JOHNNYSWIM),0.511,0.8,0.531,114.042,-4.759,0.227,0.000345,0.112,0.0622
Les Là-Bas - Bonobo Remix,0.834,0.652,0.873,124.035,-8.735,0.0474,0.89,0.0747,0.0751
Mattinata spring awaking,0.216,0.486,0.189,91.358,-8.735,0.967,5.63e-05,0.0931,0.0393
Messa da Requiem: II. Dies irae,0.267,0.347,0.0776,80.323,-15.015,0.877,0.84,0.0704,0.0427
"Beware, the Sirens",0.721,0.899,0.0385,142.018,-4.07,0.0116,2.51e-05,0.126,0.057
Dangerous (feat. Jeremih and PnB Rock),0.763,0.441,0.538,86.093,-8.211,0.0581,0.0,0.0458,0.256
Tu Quieres Duro,0.802,0.873,0.0933,95.0,-5.698,0.275,3.12e-06,0.308,0.054
He's A Mental Giant,0.603,0.944,0.674,168.084,-4.086,0.0208,0.0,0.384,0.389
"Caplets: November, 2015",0.63,0.348,0.593,87.534,-13.652,0.826,0.0,0.968,0.957
You Might Think He Loves You for Your Money but I Know What He Really Loves You for It's Your Brand New Leopard Skin Pillbox Hat,0.317,0.853,0.487,103.37,-2.751,0.00187,0.000702,0.254,0.186
Come Together Now,0.701,0.655,0.784,97.98,-6.904,0.0945,2.97e-05,0.15,0.0346
"I Won't Dance (feat. Oscar Peterson, Louie Bellson, Ray Brown & Herb Ellis)",0.443,0.33,0.699,175.121,-14.895,0.51,0.0,0.0999,0.171
Bodhisattva,0.54,0.772,0.811,109.802,-11.172,0.128,0.00589,0.0753,0.0455
Black And White World,0.552,0.98,0.768,106.518,-3.826,0.114,3.59e-05,0.112,0.19
Second Dream,0.153,0.037,0.101,66.901,-28.626,0.876,0.947,0.0938,0.0328
Nothing On Us,0.605,0.733,0.489,125.029,-4.684,0.124,0.0,0.0786,0.0616
"La Favorita - Italian version - Act 4: ""Spirto gentil, de'sogni miei""",0.291,0.203,0.0638,75.358,-16.514,0.979,1.54e-05,0.0827,0.0531
Good Morning,0.815,0.462,0.808,83.965,-11.514,0.129,0.0384,0.113,0.0644
Graduate,0.498,0.913,0.45,89.359,-4.805,0.000904,0.0,0.0902,0.0446
Never Meant,0.436,0.819,0.405,144.26,-6.71,0.0171,0.00882,0.117,0.036
Children of the Korn,0.697,0.808,0.54,95.841,-6.803,0.00277,0.00258,0.0509,0.203
Lost In The World,0.609,0.746,0.277,117.072,-5.249,0.115,0.0087,0.427,0.184
Srolang,0.606,0.522,0.389,86.975,-8.035,0.0609,0.0161,0.0944,0.292
Her - Wooli Remix,0.368,0.953,0.237,74.928,-1.877,0.00364,0.29,0.652,0.571
Tuba Sonata (Concerto): I. Allegro moderato,0.419,0.111,0.405,135.811,-29.885,0.994,0.887,0.107,0.0371
Temptation,0.617,0.575,0.278,72.188,-5.212,0.000238,0.053,0.0542,0.0363
This Song Is Like Thunder and Lightning in a Wide Open Field,0.417,0.995,0.452,100.865,-3.426,4.48e-05,0.0,0.358,0.13
Always,0.363,0.906,0.371,181.964,-4.415,0.0122,0.0,0.172,0.0615
Wildfire,0.547,0.88,0.483,110.033,-4.453,9.73e-05,0.00105,0.101,0.0373
Help Is On The Way,0.336,0.951,0.596,108.043,-3.587,0.000123,0.00108,0.0333,0.0707
How Long Will They Mourn Me?,0.81,0.614,0.431,87.03,-7.41,0.0677,0.0,0.356,0.157
Theme Song (I'm Far Away),0.659,0.435,0.613,137.933,-9.261,0.57,0.00111,0.113,0.0743
On My Soul,0.824,0.747,0.498,149.018,-4.594,0.0246,0.0,0.117,0.373
Murder She Said,0.759,0.573,0.812,80.043,-14.738,0.614,0.932,0.261,0.055
Indian Summer,0.609,0.587,0.428,113.006,-11.445,0.0447,0.958,0.162,0.0286
Heaven Came For Me,0.245,0.467,0.0367,127.494,-12.036,0.501,0.0471,0.0628,0.0368
The Wave,0.748,0.406,0.386,79.988,-7.462,0.211,0.0,0.042,0.0343
猫のしっぽ犬のしっぽ,0.703,0.327,0.848,108.446,-9.983,0.784,0.772,0.107,0.0361
No Days Off (feat. Monty),0.681,0.57,0.153,135.121,-5.829,0.0407,0.0,0.105,0.136
Nobody Else But You,0.708,0.612,0.263,139.913,-6.379,0.0381,0.0,0.277,0.122
Sonata No. 6 in D Major: II. Andante assai,0.129,0.0557,0.0389,63.827,-25.691,0.933,0.743,0.104,0.0491
Rocket 69,0.692,0.628,0.774,137.065,-6.186,0.357,0.0,0.114,0.0837
U Smile,0.388,0.612,0.387,75.618,-5.141,0.537,1.12e-06,0.115,0.0478
Giselle: No. 5 - Allegro,0.461,0.107,0.23,113.12,-21.525,0.952,0.704,0.0797,0.0424
Everybody's Sufferin',0.738,0.937,0.958,157.987,-3.863,0.262,3.89e-05,0.07,0.0364
Lose My Cool,0.733,0.474,0.328,102.976,-8.024,0.579,0.000272,0.087,0.0439
Overwhelming,0.732,0.629,0.683,91.7,-4.64,0.267,0.0,0.118,0.286
